	state	year	urate	children	nonwhite	finc	earn	age	ed	work	unearn
120	44	1993	4.400000095	0	0	22140.11419	0	47	7	0	22.14011419
121	45	1993	3.599999905	2	0	3998.615917	0	28	11	0	3.998615917
122	46	1993	2.700000048	0	0	10551.90311	10551.90311	50	11	1	0
123	47	1993	5	0	0	11551.55709	11551.55709	52	7	1	0
124	51	1993	5.300000191	1	0	4993.82699	0	32	11	0	4.99382699
125	52	1993	6.199999809	2	1	1777.16263	1777.16263	39	0	1	0
126	53	1993	8.600000381	0	1	25546.7128	25546.7128	34	11	1	0
127	54	1993	5.099999905	0	1	26524.15225	26524.15225	36	3	1	0
128	55	1993	10.89999962	2	0	2679.072664	0	23	9	0	2.679072664
129	56	1993	4.900000095	0	0	28101.38408	26657.43945	49	10	1	1.443944637
130	57	1993	7.599999905	1	0	5553.633218	5553.633218	26	10	1	0
131	58	1993	5.800000191	1	0	23517.41523	2075.948097	40	7	0	21.44146713
132	59	1993	7	1	0	5997.923875	0	24	10	0	5.997923875
133	61	1993	6.199999809	1	0	16096.65052	16096.65052	47	9	1	0
134	62	1993	5.699999809	1	1	6997.577855	6997.577855	44	11	1	0
135	63	1993	7.599999905	0	1	8441.522491	0	34	11	0	8.441522491
136	64	1993	6.400000095	0	0	16692	9863.252595	20	11	0	6.828747405
137	71	1993	6.199999809	0	0	25803.29066	25546.7128	53	11	1	0.256577855
138	72	1993	7.5	0	0	5904.622837	0	42	10	0	5.904622837
139	73	1993	6.099999905	2	0	5764.67128	0	40	11	0	5.76467128
140	74	1993	7.199999809	2	1	5331.487889	0	49	7	0	5.331487889
141	81	1993	6.099999905	4	0	8090.532872	0	32	9	0	8.090532872
142	82	1993	6.199999809	2	0	11548.22491	0	31	11	0	11.54822491
143	83	1993	5.5	0	0	15661.24568	0	39	7	0	15.66124568
144	84	1993	5.300000191	0	1	3887.543253	3887.543253	21	11	1	0
145	85	1993	7.699999809	0	1	34563.5917	1288.442907	37	7	1	33.27514879
146	86	1993	6.300000191	3	0	6904.276817	1332.871972	34	11	0	5.571404844
147	87	1993	3.900000095	0	0	13350.93426	13328.71972	26	11	1	0.022214533
148	88	1993	7.300000191	0	0	40488.20761	40488.20761	52	9	1	0
149	91	1993	7.599999905	0	0	5331.487889	0	38	3	0	5.331487889
150	92	1993	7.300000191	0	0	57791.10727	7775.086505	21	11	1	50.01602076
151	93	1993	9.399999619	3	1	32455.43253	32438.77163	33	11	1	0.0166609
152	94	1993	7.699999809	0	0	2110.380623	0	21	10	0	2.110380623
153	95	1993	4.300000191	1	0	1602.778547	266.5743945	38	3	1	1.336204152
154	11	1994	7.400000095	1	0	6164.412956	1262.773279	38	9	1	4.901639676
155	12	1994	4.599999905	4	0	9396.072875	0	30	11	0	9.396072875
156	13	1994	4.699999809	1	0	2393.421053	2274.291498	31	9	1	0.119129555
157	14	1994	6	1	1	0	0	30	7	0	0
158	15	1994	7.099999905	2	0	17111.33603	8663.967611	36	11	1	8.447368421
159	16	1994	5.599999905	0	0	12021.25506	12021.25506	54	11	1	0
160	21	1994	6.900000095	1	1	9630	0	48	7	0	9.63
161	22	1994	6.800000191	0	1	25377.84413	24908.90688	52	7	1	0.468937247
162	23	1994	6.199999809	3	0	7041.639676	0	32	11	0	7.041639676
163	31	1994	5.5	4	1	7004.817814	0	40	11	0	7.004817814
164	32	1994	4.900000095	2	0	8756.022267	7331.882591	47	7	1	1.424139676
165	33	1994	5.699999809	3	1	5380.323887	0	25	11	0	5.380323887
166	34	1994	5.900000095	0	1	5978.137652	0	52	10	0	5.978137652
167	35	1994	4.699999809	0	1	4378.552632	4331.983806	21	11	1	0.046568826
168	41	1994	4	1	0	0	0	28	9	0	0
169	42	1994	3.700000048	1	0	20771.86235	216.5991903	54	10	1	20.55526316
170	43	1994	4.900000095	1	0	7719.595142	0	24	10	0	7.719595142
171	44	1994	3.900000095	2	0	1646.153846	1646.153846	21	10	0	0
172	45	1994	3.299999952	2	0	7901.538462	541.4979757	46	10	0	7.360040486
173	46	1994	2.900000095	0	0	16343.4919	10015.54656	45	7	0	6.327945344
174	47	1994	5.300000191	0	0	0	0	25	0	0	0
175	51	1994	4.900000095	0	1	65662.04453	59239.87854	48	9	1	6.422165992
176	52	1994	5.099999905	3	1	38289.32186	38289.32186	22	11	1	0
177	53	1994	8.199999809	2	1	6666.923077	0	23	10	0	6.666923077
178	54	1994	4.900000095	2	1	25991.90283	25991.90283	46	10	1	0
179	55	1994	8.899999619	1	0	7576.639676	0	46	7	0	7.576639676
180	56	1994	4.400000095	0	0	49817.81377	49817.81377	45	11	1	0
181	57	1994	6.300000191	2	0	19493.92713	19493.92713	27	11	1	0
182	58	1994	5.199999809	1	1	74163.56275	74163.56275	39	11	1	0
183	59	1994	6.599999905	5	1	5497.287449	0	20	11	0	5.497287449
184	61	1994	5.400000095	1	0	9255.283401	9255.283401	48	9	1	0
185	62	1994	4.800000191	0	1	7902.621458	0	42	11	0	7.902621458
186	63	1994	6	0	1	17327.93522	17327.93522	43	11	0	0
187	64	1994	6.599999905	0	0	3790.48583	3790.48583	35	11	1	0
188	71	1994	5.300000191	0	0	3898.785425	3898.785425	33	10	1	0
189	72	1994	8	1	0	24568.84615	4548.582996	20	11	1	20.02026316
190	73	1994	5.800000191	1	0	6653.927126	0	43	7	0	6.653927126
191	74	1994	6.400000095	1	1	2577.530364	0	50	9	0	2.577530364
192	81	1994	5.099999905	2	0	7676.275304	3465.587045	32	10	1	4.210688259
193	82	1994	5.599999905	1	0	14078.94737	14078.94737	35	10	1	0
194	83	1994	5.300000191	1	1	4316.821862	0	23	9	0	4.316821862
195	84	1994	4.199999809	2	0	18957.84413	15161.94332	28	11	1	3.79590081
196	85	1994	6.300000191	0	0	0	0	28	11	0	0
197	86	1994	6.400000095	2	1	6349.605263	324.8987854	21	10	1	6.024706478
198	87	1994	3.700000048	0	1	14283.6336	0	47	9	0	14.2836336
199	88	1994	6.199999809	3	1	11351.96356	11351.96356	30	9	1	0
200	91	1994	6.400000095	2	0	10266.80162	3248.987854	30	11	1	7.017813765
201	92	1994	5.400000095	0	0	7797.57085	0	54	11	0	7.79757085
202	93	1994	8.600000381	1	1	10851.61943	10829.95951	38	7	1	0.021659919
203	94	1994	7.800000191	0	0	62034.0081	60073.78543	48	9	1	1.960222672
204	95	1994	6.099999905	3	0	7473.755061	0	26	11	0	7.473755061
205	11	1995	5.699999809	2	0	8795.905512	0	23	9	0	8.795905512
206	12	1995	4	1	0	15797.24409	15797.24409	38	7	1	0
207	13	1995	4.199999809	3	0	13623.54331	2422.244095	37	10	1	11.20129921
208	14	1995	5.400000095	0	0	75133.79921	63989.37008	25	0	0	11.14442913
209	15	1995	7	1	0	0	0	20	10	0	0
210	16	1995	5.5	1	1	15797.24409	15797.24409	42	7	1	0
211	21	1995	6.300000191	3	1	13324.44882	0	21	9	0	13.32444882
212	22	1995	6.400000095	1	1	26350.8563	26328.74016	44	7	1	0.022116142
213	23	1995	5.900000095	0	1	7898.622047	7898.622047	41	7	1	0
214	31	1995	4.800000191	2	0	56684.72441	50656.49606	46	10	0	6.028228347
215	32	1995	4.699999809	0	0	81946.62402	75826.77165	22	11	1	6.119852362
216	33	1995	5.199999809	1	0	22442.61811	21062.99213	31	11	1	1.379625984
217	34	1995	5.300000191	0	0	5802.854331	0	47	11	0	5.802854331
218	35	1995	3.700000048	2	1	8151.377953	985.7480315	35	11	1	7.165629921
219	41	1995	3.700000048	0	0	30175.89567	12058.56299	37	11	1	18.11733268
220	42	1995	3.5	0	1	13706.74213	13690.94488	21	9	1	0.015797244
221	43	1995	4.800000191	0	0	17561.26969	17376.9685	54	11	1	0.184301181
222	44	1995	3.299999952	1	0	1174.261811	0	22	10	0	1.174261811
223	45	1995	2.900000095	5	0	10080.74803	8425.19685	37	7	1	1.655551181
224	46	1995	2.599999905	2	0	54601.59449	54131.88976	21	10	1	0.469704724
225	47	1995	4.400000095	0	0	27381.88976	27381.88976	51	11	1	0
226	51	1995	4.300000191	3	0	3822.933071	0	33	11	0	3.822933071
227	52	1995	5.099999905	0	0	18485.93504	18485.93504	29	7	1	0
228	53	1995	8.899999619	1	1	4170.472441	0	25	10	0	4.170472441
229	54	1995	4.5	2	1	17364.33071	0	34	11	0	17.36433071
230	55	1995	7.900000095	0	0	18106.80118	10952.75591	49	7	1	7.154045276
231	56	1995	4.300000191	0	1	5742.824803	0	40	10	0	5.742824803
232	57	1995	5.099999905	2	1	9130.807087	0	29	10	0	9.130807087
233	58	1995	4.900000095	0	1	46801.9685	40862.20472	20	11	0	5.93976378
234	59	1995	5.5	0	1	63188.97638	63188.97638	45	0	1	0
235	61	1995	5.400000095	0	0	6192.519685	0	36	7	0	6.192519685
236	62	1995	5.199999809	0	0	6040.866142	0	54	11	0	6.040866142
237	63	1995	6.300000191	0	0	0	0	48	11	0	0
238	64	1995	6.099999905	0	1	14423.93701	11584.64567	52	11	1	2.839291339
239	71	1995	4.900000095	0	0	10110.23622	10110.23622	38	3	1	0
240	72	1995	6.900000095	1	0	1352.244095	0	21	11	0	1.352244095
241	73	1995	4.699999809	0	0	5371.062992	5371.062992	22	11	1	0
242	74	1995	6	2	0	42378.74016	41072.83465	24	7	0	1.305905512
243	81	1995	5.900000095	1	0	4246.299213	0	22	10	0	4.246299213
244	82	1995	5.400000095	0	0	6192.519685	0	37	11	0	6.192519685
245	83	1995	4.800000191	1	0	21830.73819	20009.84252	37	9	1	1.820895669
246	84	1995	4.199999809	3	1	5149.901575	94.78346457	20	11	1	5.05511811
247	85	1995	6.300000191	0	0	21070.36417	15375.98425	20	11	0	5.694379921
248	86	1995	5.099999905	0	1	12253.39567	8778.001969	52	9	1	3.475393701
249	87	1995	3.599999905	0	1	32437.00787	31859.88189	26	10	1	0.577125984
250	88	1995	5.400000095	1	1	16850.3937	16850.3937	27	10	1	0
251	91	1995	6.400000095	1	0	37755.41339	32647.6378	27	11	1	5.107775591
252	92	1995	4.800000191	2	0	5402.65748	0	21	11	0	5.40265748
253	93	1995	7.800000191	1	1	15007.38189	15007.38189	50	3	1	0
254	94	1995	7.300000191	1	0	0	0	24	7	0	0
255	95	1995	5.900000095	1	0	7013.976378	0	26	10	0	7.013976378
256	11	1996	5.099999905	0	0	8224.474187	0	53	0	0	8.224474187
257	12	1996	4.199999809	0	0	11288.19312	0	54	7	0	11.28819312
258	13	1996	4.599999905	0	0	2520.535373	2455.066922	30	9	1	0.065468451
259	14	1996	4.300000191	2	1	10745.00956	10745.00956	32	7	1	0
260	15	1996	5.099999905	1	1	7553.422562	7553.422562	30	7	1	0
261	16	1996	5.699999809	1	1	16444.8566	10638.62333	39	7	1	5.80623327
262	21	1996	6.199999809	0	1	10587.4761	3068.833652	24	9	0	7.518642447
263	22	1996	6.199999809	0	1	10865.71702	7160.611855	40	11	1	3.705105163
264	23	1996	5.300000191	0	0	5388.871893	0	47	11	0	5.388871893
265	31	1996	4.900000095	0	0	0	0	20	7	0	0
266	32	1996	4.099999905	2	0	0	0	34	10	0	0
267	33	1996	5.300000191	0	0	4910.133843	0	24	11	0	4.910133843
268	34	1996	4.900000095	0	0	10229.44551	10229.44551	45	11	1	0
269	35	1996	3.5	0	0	8328.814532	8183.556405	42	10	1	0.145258126
270	41	1996	4	1	0	6837.361377	0	34	11	0	6.837361377
271	42	1996	3.799999952	0	0	3682.600382	0	46	7	0	3.682600382
272	43	1996	4.599999905	0	1	59379.88528	50124.28298	47	0	0	9.255602295
273	44	1996	3.099999905	0	0	25573.61377	0	53	9	0	25.57361377
274	45	1996	3.200000048	2	0	3944.474187	225.0478012	28	10	1	3.719426386
275	46	1996	2.900000095	2	1	26391.96941	26391.96941	49	3	1	0
276	47	1996	4.5	0	0	9411.089866	9411.089866	52	11	1	0
277	51	1996	5.199999809	0	1	9040.783939	0	26	11	0	9.040783939
278	52	1996	4.900000095	0	1	491.0133843	491.0133843	28	0	1	0
279	53	1996	8.5	0	1	11366.95985	0	47	10	0	11.36695985
280	54	1996	4.400000095	0	1	12177.13193	2761.950287	23	10	1	9.415181644
281	55	1996	7.5	0	0	5941.26195	0	52	7	0	5.94126195
282	56	1996	4.300000191	2	0	4296.367113	4296.367113	33	11	1	0
283	57	1996	6	0	0	38794.14914	36744.16826	54	7	1	2.04998088
284	58	1996	4.599999905	2	1	12070.7457	12070.7457	23	0	1	0
285	59	1996	5.099999905	0	1	32511.22371	0	53	11	0	32.51122371
286	61	1996	5.599999905	0	0	28591.30019	11252.39006	38	10	0	17.33891013
287	62	1996	5.199999809	1	0	6935.564054	0	37	9	0	6.935564054
288	63	1996	5.099999905	1	0	5626.195029	5626.195029	25	9	1	0
289	64	1996	6.099999905	3	1	2667.839388	0	32	11	0	2.667839388
290	71	1996	5.400000095	0	0	8304.263862	0	51	7	0	8.304263862
291	72	1996	6.699999809	0	0	11808.87189	0	29	9	0	11.80887189
292	73	1996	4.099999905	0	0	6837.361377	0	39	0	0	6.837361377
293	74	1996	5.599999905	2	1	3011.548757	703.7858509	21	11	1	2.307762906
294	81	1996	5.300000191	0	0	1227.533461	1227.533461	20	11	1	0
295	82	1996	5.199999809	1	1	37480.68834	37480.68834	52	7	1	0
296	83	1996	5	0	0	0	0	38	7	0	0
297	84	1996	4.199999809	1	1	0	0	33	7	0	0
298	85	1996	8.100000381	3	1	4091.778203	4091.778203	42	7	1	0
299	86	1996	5.5	0	1	25111.24283	20458.89101	53	9	1	4.652351816
300	87	1996	3.5	3	1	10229.44551	10229.44551	28	7	1	0
301	88	1996	5.400000095	0	0	19039.04398	15344.16826	23	0	0	3.694875717
302	91	1996	6.5	0	0	73652.00765	73652.00765	20	11	0	0
303	92	1996	5.900000095	4	0	13093.69025	12684.51243	36	9	1	0.40917782
304	93	1996	7.199999809	1	1	7723.231358	358.0305927	37	11	0	7.365200765
305	94	1996	7.800000191	1	1	5114.722753	5114.722753	35	11	1	0
306	95	1996	6.400000095	5	0	12561.75908	1309.369025	36	10	1	11.25239006
307	11	1991	7.599999905	0	0	31227.97357	14730.17621	48	11	1	16.49779736
308	11	1991	7.599999905	0	0	8248.898678	8248.898678	20	10	1	0
309	11	1991	7.599999905	0	0	16761.76212	0	44	7	0	16.76176212
310	11	1991	7.599999905	3	0	8046.211454	0	27	10	0	8.046211454
311	11	1991	7.599999905	0	0	17482.95154	0	48	7	0	17.48295154
312	11	1991	7.599999905	1	0	4765.506608	0	25	9	0	4.765506608
313	11	1991	7.599999905	2	0	6405.859031	0	31	10	0	6.405859031
314	11	1991	7.599999905	1	0	7499.427313	0	27	10	0	7.499427313
315	11	1991	7.599999905	0	0	54330.78194	17676.21145	44	11	0	36.65457049
316	11	1991	7.599999905	0	0	7183.612335	0	44	7	0	7.183612335
317	11	1991	7.599999905	0	0	9630	0	53	7	0	9.63
318	11	1991	7.599999905	0	0	6143.072687	589.2070485	36	7	1	5.553865639
319	11	1991	7.599999905	1	1	7424.008811	2121.145374	21	9	1	5.302863436
320	11	1991	7.599999905	3	0	6405.859031	0	24	11	0	6.405859031
321	11	1991	7.599999905	0	0	32382.81938	31581.4978	50	11	1	0.801321586
322	11	1991	7.599999905	1	0	20452.55507	0	48	9	0	20.45255507
323	11	1991	7.599999905	3	0	7970.792952	7970.792952	39	10	1	0
324	12	1991	7.199999809	1	0	6740.528634	6740.528634	53	7	1	0
325	12	1991	7.199999809	0	0	2710.352423	0	37	7	0	2.710352423
326	12	1991	7.199999809	3	0	8060.352423	0	31	11	0	8.060352423
327	12	1991	7.199999809	3	0	20612.81938	16497.79736	22	10	0	4.115022026
328	12	1991	7.199999809	3	0	20612.81938	16497.79736	47	7	1	4.115022026
329	12	1991	7.199999809	0	0	12962.55507	12962.55507	42	11	1	0
330	12	1991	7.199999809	2	0	22272.02643	21329.29515	27	11	1	0.942731278
331	12	1991	7.199999809	2	0	2432.246696	0	29	7	0	2.432246696
332	12	1991	7.199999809	1	0	3690.792952	0	37	7	0	3.690792952
333	12	1991	7.199999809	1	0	50282.92952	19886.9163	50	10	1	30.39601322
334	12	1991	7.199999809	0	0	18656.65198	18618.94273	37	7	1	0.037709251
335	12	1991	7.199999809	0	0	46853.74449	41861.98238	39	11	1	4.991762115
336	12	1991	7.199999809	1	0	30.63876652	30.63876652	26	10	1	0
337	12	1991	7.199999809	2	0	7607.84141	0	26	7	0	7.60784141
338	12	1991	7.199999809	0	0	8931.200441	2356.828194	44	7	1	6.574372247
339	12	1991	7.199999809	0	0	11784.14097	11784.14097	51	7	1	0
340	13	1991	6.400000095	0	0	0	0	41	7	0	0
341	13	1991	6.400000095	0	0	13521.12335	13514.05286	45	7	1	0.007070485
342	13	1991	6.400000095	3	0	10648.14978	0	32	11	0	10.64814978
343	13	1991	6.400000095	0	0	25617.54405	25612.8304	29	7	1	0.004713656
344	13	1991	6.400000095	1	0	12888.31498	2828.193833	34	7	1	10.06012115
345	13	1991	6.400000095	0	0	5656.387665	0	53	7	0	5.656387665
346	13	1991	6.400000095	0	0	12374.52643	12373.34802	22	11	1	0.001178414
347	13	1991	6.400000095	1	0	43247.79736	43247.79736	21	10	1	0
348	13	1991	6.400000095	0	0	9726.629956	0	42	7	0	9.726629956
349	13	1991	6.400000095	1	0	4327.136564	600.9911894	50	11	0	3.726145374
350	13	1991	6.400000095	2	0	7570.132159	188.5462555	27	10	1	7.381585903
351	13	1991	6.400000095	0	0	7960.187225	0	50	11	0	7.960187225
352	13	1991	6.400000095	2	0	8248.898678	8248.898678	45	10	1	0
353	13	1991	6.400000095	3	0	10676.43172	0	35	7	0	10.67643172
354	13	1991	6.400000095	0	1	0	0	23	10	0	0
355	14	1991	9.100000381	1	0	24571.11234	21737.02643	30	7	1	2.834085903
356	14	1991	9.100000381	0	1	23568.28194	23568.28194	38	7	1	0
357	14	1991	9.100000381	0	0	25925.11013	25925.11013	47	11	1	0
358	14	1991	9.100000381	2	0	6634.471366	0	21	10	0	6.634471366
359	14	1991	9.100000381	0	0	24459.163	0	37	7	0	24.459163
360	14	1991	9.100000381	0	1	10397.14758	0	40	10	0	10.39714758
361	14	1991	9.100000381	1	0	60216.96035	60099.11894	52	7	1	0.11784141
362	14	1991	9.100000381	0	1	5472.555066	0	46	9	0	5.472555066
363	14	1991	9.100000381	2	1	28355	27598.45815	50	0	1	0.75654185
364	14	1991	9.100000381	1	0	8116.9163	0	42	9	0	8.1169163
365	14	1991	9.100000381	3	0	942.7312775	0	30	10	0	0.942731278
366	14	1991	9.100000381	0	1	6410.572687	4148.017621	36	10	1	2.262555066
367	14	1991	9.100000381	0	0	20421.9163	0	52	0	0	20.4219163
368	14	1991	9.100000381	1	1	6306.872247	0	21	7	0	6.306872247
369	14	1991	9.100000381	0	1	5892.070485	5892.070485	42	7	1	0
370	14	1991	9.100000381	1	1	14848.01762	14848.01762	36	11	1	0
